2Theta	Intensity
5.214	154
5.235	151
5.257	160
5.278	156
5.299	166
5.321	184
5.342	177
5.364	171
5.385	182
5.406	182
5.428	217
5.449	220
5.471	190
5.492	198
5.513	206
5.535	172
5.556	192
5.578	227
5.599	207
5.62	178
5.642	179
5.663	200
5.684	230
5.706	197
5.727	190
5.749	226
5.77	210
5.791	198
5.813	223
5.834	219
5.856	220
5.877	239
5.898	229
5.92	231
5.941	217
5.963	242
5.984	229
6.005	233
6.027	247
6.048	243
6.069	227
6.091	215
6.112	204
6.134	213
6.155	219
6.176	206
6.198	242
6.219	226
6.241	249
6.262	227
6.283	241
6.305	230
6.326	242
6.348	238
6.369	227
6.39	239
6.412	245
6.433	257
6.454	217
6.476	258
6.497	239
6.519	249
6.54	223
6.561	243
6.583	240
6.604	254
6.626	229
6.647	209
6.668	222
6.69	231
6.711	242
6.733	227
6.754	236
6.775	231
6.797	240
6.818	217
6.839	231
6.861	278
6.882	243
6.904	243
6.925	240
6.946	271
6.968	296
6.989	259
7.011	253
7.032	251
7.053	240
7.075	262
7.096	252
7.118	277
7.139	260
7.16	281
7.182	244
7.203	253
7.224	221
7.246	283
7.267	274
7.289	268
7.31	232
7.331	258
7.353	247
7.374	247
7.396	244
7.417	233
7.438	248
7.46	237
7.481	250
7.503	253
7.524	248
7.545	227
7.567	229
7.588	259
7.609	227
7.631	227
7.652	212
7.674	211
7.695	215
7.716	201
7.738	250
7.759	239
7.781	223
7.802	243
7.823	235
7.845	212
7.866	187
7.888	209
7.909	222
7.93	241
7.952	238
7.973	222
7.994	203
8.016	206
8.037	212
8.059	199
8.08	236
8.101	224
8.123	217
8.144	193
8.166	211
8.187	208
8.208	208
8.23	208
8.251	195
8.273	185
8.294	200
8.315	211
8.337	174
8.358	188
8.379	208
8.401	190
8.422	180
8.444	191
8.465	193
8.486	186
8.508	181
8.529	202
8.551	207
8.572	186
8.593	189
8.615	210
8.636	199
8.658	201
8.679	208
8.7	173
8.722	195
8.743	190
8.764	184
8.786	168
8.807	192
8.829	164
8.85	179
8.871	181
8.893	196
8.914	198
8.936	176
8.957	194
8.978	198
9	174
9.021	163
9.043	182
9.064	170
9.085	188
9.107	170
9.128	187
9.15	178
9.171	165
9.192	187
9.214	176
9.235	200
9.256	198
9.278	172
9.299	183
9.321	178
9.342	171
9.363	177
9.385	181
9.406	176
9.428	188
9.449	184
9.47	198
9.492	182
9.513	176
9.535	175
9.556	162
9.577	166
9.599	162
9.62	160
9.641	190
9.663	196
9.684	177
9.706	167
9.727	147
9.748	171
9.77	163
9.791	184
9.813	176
9.834	162
9.855	163
9.877	163
9.898	168
9.92	177
9.941	178
9.962	166
9.984	150
10.005	157
10.026	155
10.048	177
10.069	169
10.091	158
10.112	177
10.133	173
10.155	150
10.176	170
10.198	168
10.219	189
10.24	188
10.262	162
10.283	185
10.305	160
10.326	159
10.347	175
10.369	168
10.39	191
10.411	153
10.433	188
10.454	144
10.476	155
10.497	158
10.518	188
10.54	142
10.561	146
10.583	162
10.604	160
10.625	161
10.647	167
10.668	165
10.69	148
10.711	158
10.732	151
10.754	167
10.775	145
10.796	164
10.818	156
10.839	165
10.861	149
10.882	183
10.903	180
10.925	165
10.946	158
10.968	172
10.989	148
11.01	143
11.032	140
11.053	169
11.075	175
11.096	161
11.117	145
11.139	147
11.16	173
11.181	162
11.203	152
11.224	153
11.246	183
11.267	161
11.288	161
11.31	184
11.331	157
11.353	167
11.374	183
11.395	160
11.417	168
11.438	157
11.46	167
11.481	172
11.502	164
11.524	174
11.545	163
11.566	150
11.588	143
11.609	169
11.631	158
11.652	166
11.673	154
11.695	166
11.716	143
11.738	169
11.759	181
11.78	153
11.802	156
11.823	174
11.845	153
11.866	152
11.887	180
11.909	169
11.93	157
11.951	163
11.973	165
11.994	144
12.016	146
12.037	164
12.058	149
12.08	187
12.101	155
12.123	179
12.144	154
12.165	154
12.187	167
12.208	166
12.23	144
12.251	160
12.272	158
12.294	160
12.315	137
12.336	154
12.358	171
12.379	163
12.401	163
12.422	166
12.443	156
12.465	156
12.486	165
12.508	151
12.529	160
12.55	150
12.572	152
12.593	173
12.615	151
12.636	161
12.657	161
12.679	176
12.7	184
12.722	162
12.743	154
12.764	167
12.786	157
12.807	152
12.828	158
12.85	169
12.871	167
12.893	171
12.914	147
12.935	177
12.957	151
12.978	162
13	147
13.021	168
13.042	155
13.064	166
13.085	162
13.107	172
13.128	164
13.149	185
13.171	170
13.192	182
13.213	180
13.235	177
13.256	168
13.278	150
13.299	172
13.32	165
13.342	172
13.363	164
13.385	158
13.406	163
13.427	158
13.449	159
13.47	159
13.492	184
13.513	161
13.534	179
13.556	160
13.577	178
13.598	174
13.62	156
13.641	163
13.663	154
13.684	143
13.705	176
13.727	146
13.748	163
13.77	121
13.791	167
13.812	165
13.834	177
13.855	167
13.877	172
13.898	170
13.919	153
13.941	163
13.962	185
13.983	167
14.005	166
14.026	158
14.048	180
14.069	158
14.09	179
14.112	176
14.133	171
14.155	173
14.176	161
14.197	171
14.219	186
14.24	174
14.262	195
14.283	165
14.304	184
14.326	163
14.347	184
14.368	149
14.39	165
14.411	181
14.433	189
14.454	174
14.475	185
14.497	181
14.518	194
14.54	191
14.561	194
14.582	183
14.604	182
14.625	173
14.647	195
14.668	168
14.689	181
14.711	185
14.732	180
14.753	178
14.775	172
14.796	208
14.818	207
14.839	172
14.86	197
14.882	172
14.903	179
14.925	177
14.946	199
14.967	197
14.989	183
15.01	192
15.032	218
15.053	188
15.074	199
15.096	187
15.117	172
15.138	177
15.16	173
15.181	180
15.203	192
15.224	197
15.245	165
15.267	176
15.288	177
15.31	173
15.331	193
15.352	224
15.374	217
15.395	172
15.417	189
15.438	180
15.459	176
15.481	205
15.502	204
15.523	186
15.545	186
15.566	184
15.588	182
15.609	209
15.63	202
15.652	183
15.673	194
15.695	204
15.716	179
15.737	177
15.759	206
15.78	191
15.802	196
15.823	193
15.844	175
15.866	214
15.887	188
15.908	200
15.93	183
15.951	195
15.973	174
15.994	188
16.015	199
16.037	213
16.058	204
16.08	197
16.101	235
16.122	185
16.144	211
16.165	194
16.187	193
16.208	180
16.229	204
16.251	201
16.272	213
16.293	185
16.315	202
16.336	201
16.358	178
16.379	185
16.4	201
16.422	226
16.443	173
16.465	187
16.486	221
16.507	199
16.529	233
16.55	194
16.572	191
16.593	215
16.614	200
16.636	206
16.657	186
16.679	180
16.7	210
16.721	180
