Time /s	Extent	err		
0.222	2.254	0.113		
2.643	5.210	0.261		
3.335	5.207	0.260		
3.909	3.463	0.173		
4.700	4.055	0.203		
6.677	6.148	0.307		
6.915	4.748	0.237		
7.764	4.702	0.235		
7.769	5.885	0.294		
8.304	5.117	0.256		
9.561	6.327	0.316		
10.344	8.033	0.402		
10.767	7.947	0.397		
11.010	7.236	0.362		
11.519	7.003	0.350		
12.415	9.047	0.452		
14.552	8.126	0.406		
14.776	10.813	0.541		
14.971	10.064	0.503		
15.103	9.085	0.454		
15.245	10.058	0.503		
21.928	18.039	0.902		
24.653	20.416	1.021		
24.817	21.475	1.074		
